"","address","latitude","longitude"
"221","Kalkbreitestrasse 41, 8003  Zürich, Switzerland",47.37331085,8.51944630925378
"222","Gertrudstrasse 22, 8003  Zürich, Switzerland",47.37407,8.51603332378805
"223","Gertrudstrasse 22, 8003  Zürich, Switzerland",47.37407,8.51603332378805
"224","Magnolienstrasse 6, 8003  Zürich, Switzerland",47.36043895,8.55110495
"225","Badenerstrasse, 8004  Zürich, Switzerland",47.3744787,8.5217477
"226","Müllerstrasse, 8004  Zürich, Switzerland",47.3769241,8.5275415
"227","Badenerstrasse 362, 8004  Zürich, Switzerland",47.3744787,8.5217477
"228","Ankerstrasse 113, 8004  Zürich, Switzerland",47.376328,8.527878
"229","Militärstrasse 12, 8004  Zürich, Switzerland",47.3763651,8.5333164
"230","Anwandstrasse 10, 8004  Zürich, Switzerland",47.3761613,8.5246877
"231","Anwandstrasse 10, 8004  Zürich, Switzerland",47.3761613,8.5246877
"232","Hallwylstrasse 40, 8004  Zürich, Switzerland",47.37143405,8.52850059912883
"233","Feldstrasse 46, 8004  Zürich, Switzerland",47.3763415,8.5215281
"234","Müllerstrasse 63, 8004  Zürich, Switzerland",47.3757372,8.5288666
"235","Knüslistrasse, 8004  Zürich, Switzerland",47.3847029,8.5093159
"236","Anwandstrasse 10, 8004  Zürich, Switzerland",47.3761613,8.5246877
"237","Anwandstrasse 10, 8004  Zürich, Switzerland",47.3761613,8.5246877
"238","Müllerstrasse 63, 8004  Zürich, Switzerland",47.3757372,8.5288666
"239","Engelstrasse 60, 8004  Zürich, Switzerland",47.3765988,8.5238506
"240","Elisabethenstr. 6, 8004  Zürich, Switzerland",47.3727374,8.5230839
"241","Elisabethenstr. 6, 8004  Zürich, Switzerland",47.3727374,8.5230839
"242","Freyastrasse 20, 8004  Zürich, Switzerland",47.3723314,8.5240057
"243","Zwinglistrasse 8, 8004  Zürich, Switzerland",47.3780527,8.5295835
"244","Brauerstrasse 29, 8004  Zürich, Switzerland",47.3775702,8.5272431
"245","Dienerstrasse 15, 8004  Zürich, Switzerland",47.3776955,8.5283992
"246","Sihlhallenstrasse 11, 8004  Zürich, Switzerland",47.3797785,8.5267227
"247","Sihlfeldstrasse 83, 8004  Zürich, Switzerland",47.3759725,8.5162411
"248","Morgartenstrasse 15, 8004  Zürich, Switzerland",47.37116415,8.52878655
"249","Engelstrasse 60, 8004  Zürich, Switzerland",47.3765988,8.5238506
"250","Dienerstrasse 20, 8004  Zürich, Switzerland",47.3777781,8.5284966
"251","Brauerstrasse 3, 8004  Zürich, Switzerland",47.3769262,8.5284802
"252","Hohlstrasse 104, 8004  Zürich, Switzerland",47.37918145,8.52268994068123
"253","Hohlstrasse 104, 8004  Zürich, Switzerland",47.37918145,8.52268994068123
"254","Badenerstrasse 414, 8004  Zürich, Switzerland",47.3744787,8.5217477
"255","Bienenstrasse 1, 8004  Zürich, Switzerland",47.3807849,8.50774560729803
"256","Bienenstrasse 3, 8004  Zürich, Switzerland",47.3808799,8.50753459636118
"257","Hohlstrasse 100, 8004  Zürich, Switzerland",47.3793872,8.52295811559348
"258","Verena-Conzett-Strasse 34, 8004  Zürich, Switzerland",47.3702609,8.52561643588583
"259","Badenerstrasse 362, 8004  Zürich, Switzerland",47.3744787,8.5217477
"260","Morgartenstrasse 15, 8004  Zürich, Switzerland",47.37116415,8.52878655
"261","Bienenstrasse 3, 8004  Zürich, Switzerland",47.3808799,8.50753459636118
"262","Feldstrasse 46, 8004  Zürich, Switzerland",47.3763415,8.5215281
